
                  X            U2 free node 3 
                5.08664           -1.82947    
                5.09231           -1.75244    
                5.09799           -1.71124    
                5.10367           -1.70631    
                5.10934           -1.73762    
                5.11502           -1.80461    
                5.12069           -1.9062     
                5.12637           -2.04081    
                5.13205           -2.20636    
                5.13772           -2.40023    
                5.1434            -2.61928    
                5.14908           -2.85989    
                5.15475           -3.11795    
                5.16043           -3.38895    
                5.1661            -3.66801    
                5.17178           -3.95001    
                5.17745           -4.22968    
                5.18313           -4.50172    
                5.1888            -4.76095    
                5.19448           -5.00245    
                5.20015           -5.22167    
                5.20583           -5.41458    
                5.21151           -5.57774    
                5.21718           -5.70839    
                5.22286           -5.80451    
                5.22853           -5.8648     
                5.23421           -5.8887     
                5.23988           -5.87634    
                5.24555           -5.82848    
                5.25123           -5.74646    
                5.2569            -5.6321     
                5.26258           -5.48768    
                5.26825           -5.31582    
                5.27393           -5.11945    
                5.2796            -4.90179    
                5.28528           -4.66628    
                5.29095           -4.41662    
                5.29663           -4.15667    
                5.3023            -3.89054    
                5.30798           -3.62246    
                5.31366           -3.35686    
                5.31933           -3.09822    
                5.32501           -2.85108    
                5.33068           -2.61994    
                5.33636           -2.40915    
                5.34203           -2.22282    
                5.34771           -2.06471    
                5.35339           -1.93808    
                5.35906           -1.84562    
                5.36474           -1.78935    
                5.37041           -1.7705     
                5.37609           -1.78953    
                5.38176           -1.84602    
                5.38744           -1.93878    
                5.39312           -2.06579    
